Product Name,Price,Link,Image,Ratings,Product Reviews Link
"Lace up Waterproof blue shoes for running, walking, gym...",₹519,https://www.flipkart.comhttps://www.flipkart.com/clymb-lace-up-waterproof-blue-shoes-running-walking-gym-trekking-hiking-running-men/p/itmfew2tshsseqxa,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/2/c/w/11-cosco-blue-11-clymb-blue-original-imah2pfrdzw4hzyb.jpeg?q=70,,https://www.flipkart.com/clymb-lace-up-waterproof-blue-shoes-running-walking-gym-trekking-hiking-running-men/product-reviews/itmfew2tshsseqxa
Sneakers For Men,₹506,https://www.flipkart.comhttps://www.flipkart.com/lejano-sneakers-men/p/itm88f911529fa24,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/9/j/i/8-rsjlbl43-8-lejano-black-original-imah4wyqedbyh4yn.jpeg?q=70,,https://www.flipkart.com/lejano-sneakers-men/product-reviews/itm88f911529fa24
Trending Stylish Casual Outdoor Sneakers Shoes For Men ...,₹299,https://www.flipkart.comhttps://www.flipkart.com/urbanbox-trending-stylish-casual-outdoor-sneakers-shoes-men/p/itm20f1e7caa80e8,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/9/0/s/9-white-leaf-9-urbanbox-white-black-original-imah6kycqyr6qwqb.jpeg?q=70,,https://www.flipkart.com/urbanbox-trending-stylish-casual-outdoor-sneakers-shoes-men/product-reviews/itm20f1e7caa80e8
MIKE (N) Running Shoes For Men,₹866,https://www.flipkart.comhttps://www.flipkart.com/campus-mike-n-running-shoes-men/p/itm8f7228d1e224c,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/r/a/o/-original-imagsn6p2dzrc6zy.jpeg?q=70,,https://www.flipkart.com/campus-mike-n-running-shoes-men/product-reviews/itm8f7228d1e224c
Lite Sports Shoes Running Shoes For Men,₹551,https://www.flipkart.comhttps://www.flipkart.com/bruton-lite-sports-shoes-running-men/p/itmc6a5ee5593671,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/3/w/k/7-rng-850-wht-bruton-white-original-imags9wjv7ghpdz3.jpeg?q=70,,https://www.flipkart.com/bruton-lite-sports-shoes-running-men/product-reviews/itmc6a5ee5593671
Sneakers For Men,₹438,https://www.flipkart.comhttps://www.flipkart.com/clymb-sneakers-men/p/itmec02892cd31c7,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/w/t/v/7-khalifa-grey-7-clymb-grey-original-imah2gargxykzpwx.jpeg?q=70,,https://www.flipkart.com/clymb-sneakers-men/product-reviews/itmec02892cd31c7
Trendy Sports Running Running Shoes For Men,₹295,https://www.flipkart.comhttps://www.flipkart.com/bruton-trendy-sports-running-shoes-men/p/itm6036f913ec47f,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/9/k/n/6-444-gry-org-40-bruton-orange-grey-original-imah4upwvhdzzyaf.jpeg?q=70,,https://www.flipkart.com/bruton-trendy-sports-running-shoes-men/product-reviews/itm6036f913ec47f
wndr-13 sports shoes for men | Latest Stylish Casual sp...,₹601,https://www.flipkart.comhttps://www.flipkart.com/asian-wndr-13-sports-shoes-men-latest-stylish-casual-sport-running-boys-lace-up-lightweight-grey-running-walking-gym-trekking-hiking-party-running/p/itmff96xgyjjf3fx,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/q/w/1/9-wndr-13cgryfrz-9-asian-greygreen-original-imagt65qdadzzhks.jpeg?q=70,,https://www.flipkart.com/asian-wndr-13-sports-shoes-men-latest-stylish-casual-sport-running-boys-lace-up-lightweight-grey-running-walking-gym-trekking-hiking-party-running/product-reviews/itmff96xgyjjf3fx
Action Athleo ATG-424 Lighweight & Comfortable Casuals ...,₹607,https://www.flipkart.comhttps://www.flipkart.com/action-athleo-atg-424-lighweight-comfortable-casuals-men/p/itm05ba4c824036e,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/j/q/g/7-atg-424-black-7-action-black-original-imah2hp5frw6hxs8.jpeg?q=70,,https://www.flipkart.com/action-athleo-atg-424-lighweight-comfortable-casuals-men/product-reviews/itm05ba4c824036e
Sneakers For Men,₹498,https://www.flipkart.comhttps://www.flipkart.com/lejano-sneakers-men/p/itma046d177949b7,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/i/a/m/7-stsnwh79-lejano-white-original-imah2sq9x6zfq9pb.jpeg?q=70,,https://www.flipkart.com/lejano-sneakers-men/product-reviews/itma046d177949b7
